business id, business name, business type, important skill, fund required, monthly expenditure,monthly annual profit, num staff, major product,contact phone ,expansion capital, firstexpansion strategy
1,Vulcanizing/Tyre repairs and maintenance,Vulcanizing/Tyre repairs and maintenance,technical know how,50k,50k,80k monthly/ 960k yearly,3,NULL,9030473437,NULL,Get a larger space
2,Uzu Driving School Nsukka,Driving School,Driving Skills and Communication skills,150k,30k,80k monthly/ 960k yearly,2,NULL,8037755083,500k,Get more cars
3,Laptop Importation/Sales,Laptop Importation/Sales,Marketing Skills,300k,30k,80k monthly/ 960k yearly,2,NULL,90242091406,1 million,get more branches
4,Dj palata Djing services,Djing Services,technical know how,200k,20k,80k monthly/ 960k yearly,0,NULL,8064290423,400k,Buy advanced equipments
5,Mandela Private Fitness Trainer,Private Fitness Trainer,technical know how and Patience,40k,20k,80k monthly/ 960k yearly,1,NULL,8039520797,300k,get a big hall
6,Grace Computer Centre,Computer Centre,Managerial Skills and technical know how,100k,50k,80k monthly/ 960k yearly,4,NULL,8032533524,200k,get more branches
7,Korede Butcher/ Meat Dealer,Cow Slaughtering/Butcher Services,technical know how,30k,40k,80k monthly/ 960k yearly,5,NULL,8164610970,100k,Get a larger space
8,Adepoju Ibrahim Rabbit Farm,Rabbit Farming,Managerial Skills and technical know how,100k,50k,80k monthly/ 960k yearly,4,NULL,8135578063,200k,Get a larger space
9,Kals Groundnuts,Groundnut Farming,Managerial Skills and technical know how,100k,40k,80k monthly/ 960k yearly,5,NULL,8165930499,200k,Get a larger space
10,Kals Groundnuts,Groundnut Farming,Managerial Skills and technical know how,100k,40k,80k monthly/ 960k yearly,5,NULL,8165930499,200k,Get a larger space
11,Onamila Candles,Candle Manufacturing,Managerial Skills and technical know how,150k,50k,80k monthly/ 960k yearly,10,NULL,7065585741,200k,get more branches
12,Fruity Zobo,Zobo Production/Sales,Managerial Skills and technical know how,100k,60k,80k monthly/ 960k yearly,5,NULL,8034519630,200k,get more branches
13,Kenny G Barbing salon,Barbing salon,Barbing skills/ Patience,100k,40k,70k monthly/ 840 yearly,NULL,NULL,7062979478,250k,Get a larger space
14,Ok Foods/Biscuits,Biscuit Production,Managerial Skills and technical know how,12-15 million,300k,700k monthly/ 8.4 million yearly,30,Biscuits,8051559355,20 million,Build a another plant
15,Etc Agro Fertilizers,Fertilizer Production,Managerial Skills and technical know how,1 million,300k,700k monthly/ 8.4 million yearly,20,NULL,8184910986,10 million,Expand the factory
16,Idoko Motorcycle Repairs,Motorcycle Repairs,technical know how,50k,30k,60k/720k,3,NULL,8031337992,100k,get more branches
17,Seyi Phone Repairs,Phone Repairs,technical know how,40k,40k,60k/720k,3,NULL,8184800116,200k,get more branches
18,St Patrick Video Game Centre,Video Game Centre,Managerial Skills,100k,40k,60k/720k,2,NULL,8032423515,200k,Get a larger space
19,Fruit Emporium Fruit sales,Fruit Sales ,Managerial Skills,50k,50k,60k/720k,4,Apple,8034471367,100k,get more branches
20,Fruit Emporium Fruit sales,Fruit Sales ,Managerial Skills,50k,50k,60k/720k,4,Apple,8034471367,100k,get more branches
21,Fruit Emporium Fruit sales,Fruit Sales ,Managerial Skills,50k,50k,60k/720k,4,Apple,8034471367,100k,get more branches
22,Lesgup Cassava Farms,Cassava Farming,Managerial Skills and technical know how,100k,20k,60k/720k,2,NULL,8164628081,200k,Get a larger space
23,Aqua Gracia Bottled water,Bottled Water Production,Managerial Skills and technical know how,12-15 million,1 million,600k/7.2million,20,NULL,8030937297,20 million,get more branches
24,Aunty Ann Home Tutors,Home Tutoring,teaching communication and patience,nil,10k,50k/600k,Nil,NULL,8083064540,NULL,Build a team of home tutors
25,Forever bee honey centre,Honey Sales,technical know how,50k,20k,50k/600k,1,NULL,8146467751,100k,get more branches
26,Mayreez Crafts Business,Crafts Business,technical know how,40k,20k,50k/600k,2,NULL,7065837854,100k,Get a larger space
27,Flower Affairs,Flower Farming/Sales,technical know how,200k,50k,50k/600k,5,NULL,8029741728,200k,Expand my production rate
28,Mama Malik Charcoal and Firewood,Firewood Sales,Managerial Skills and technical know how,40k,30k,50k/600k,3,NULL,8098073574,100k,get more branches
29,Gioval paint Company,Paint Manufacturing,Managerial Skills and technical know how,500k,300k,500k/6 million,16,NULL,8134575064,5 million,Build a another plant
30,Apapa Event/Stage Rentals,Hall/Stage Rentals,Managerial Skills and technical know how,15 million,1 million,500k/6 million,10,NULL,8032952077,100 million,Build a multi purpose hall
31,Aqua Gracia Sachet Water,Pure Water Business,Managerial Skills and technical know how,2 - 2.5 million,400k,500k/6 million,15,NULL,8030937297,5 million,get more branches
32,Olamide Lawson Recyclers,Waste Recycling,Managerial Skills and technical know how,1 million,500k,500k/6 million,30,NULL,8178655551,NULL,Get a larger space
33,Luxury Ease Interior Decors,Interior Decorations/Design,Managerial Skills and technical know how,500k,300k,500k/6 million,8,NULL,8127147140,1 million,get more branches
34,Ara Phone Battery Chargers,Phone Battery Charging,Managerial Skills and technical know how,40k,30k,40k monthly/ 480k yearly,2,NULL,8032952404,100k,Get a larger space
35,Shalom Book Stores,Book Store,Managerial Skills,50k,30k,40k monthly/ 480k yearly,2,NULL,8035630725,100k,Get a larger space
36,Iya Eleyin Chilli Pepper Farmers,Chilli Pepper Farming,Farming Skills ,40k,30k,40k monthly/ 480k yearly,2,NULL,8091139538,50k,get a bigger farm land
